"","fly_id","genotype","caff_amount","time","event"
"144",144,"pdf/Df-2",15,111.5,1
"145",145,"pdf/Df-2",15,111.5,1
"146",146,"pdf/Df-3",15,75.5,1
"147",147,"pdf/Df-3",15,75.5,1
"148",148,"pdf/Df-3",15,87.5,1
"149",149,"pdf/Df-3",15,87.5,1
"150",150,"pdf/Df-3",15,111.5,1
"151",151,"pdf/Df-4",15,51.5,1
"152",152,"pdf/Df-4",15,63.5,1
"153",153,"pdf/Df-4",15,75.5,1
"154",154,"pdf/Df-4",15,99.5,1
"155",155,"pdf/Df-4",15,111.5,1
